words,occurences
im,[12]
aint,[8]
good,[7]
dont,[6]
news,[6]
maybe,[5]
like,[5]
make,[5]
mm,[5]
whole,[4]
always,[4]
well,[4]
lot,[4]
say,[4]
get,[4]
yeah,[4]
could,[4]
time,[4]
know,[4]
bad,[4]
oh,[3]
ill,[3]
thats,[3]
waitin,[3]
hey,[3]
little,[2]
wake,[2]
instead,[2]
need,[2]
hate,[2]
youre,[2]
everything,[2]
go,[2]
way,[2]
wanna,[2]
hear,[2]
flyin,[2]
em,[2]
uncomfortable,[2]
different,[2]
whats,[2]
difference,[2]
anything,[2]
gotta,[2]
truth,[2]
sound,[2]
heard,[2]
there,[2]
late,[2]
finally,[2]
discover,[2]
spent,[1]
day,[1]
head,[1]
spring,[1]
cleanin,[1]
busy,[1]
dreamin,[1]
thing,[1]
regret,[1]
forget,[1]
cant,[1]
easy,[1]
everybody,[1]
stay,[1]
feelin,[1]
high,[1]
underneath,[1]
ceilin,[1]
card,[1]
hand,[1]
dealin,[1]
stealin,[1]
break,[1]
wish,[1]
goddamn,[1]
today,[1]
lay,[1]
tryin,[1]
figure,[1]
sorry,[1]
half,[1]
even,[1]
sayin,[1]
worse,[1]
runnin,[1]
gas,[1]
hardly,[1]
leave,[1]
hope,[1]
home,[1]
work,[1]
tired,[1]
bein,[1]
tire,[1]
build,[1]
somethin,[1]
beautiful,[1]
set,[1]
fire,[1]
liar,[1]
sometimes,[1]
cause,[1]
love,[1]
new,[1]
moon,[1]
havent,[1]
see,[1]
sun,[1]
sky,[1]
still,[1]
blue,[1]
talk,[1]
much,[1]
problem,[1]
close,[1]
door,[1]
might,[1]
also,[1]
side,[1]
wonderin,[1]
feel,[1]
summer,[1]
theres,[1]
least,[1]
